dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.491565,4.571571,0.000033,0.003333,0.166667,8.333333,6.280585
0.020000,2.491565,4.571571,0.000167,0.010000,0.333333,8.333333,6.280653
0.020000,2.491565,4.571571,0.000467,0.020000,0.500000,8.333333,6.280805
0.020000,2.491565,4.571571,0.001000,0.033333,0.666667,8.333333,6.281075
0.020000,2.491565,4.571571,0.001833,0.050000,0.833333,8.333333,6.281496
0.020000,2.491565,4.571571,0.003033,0.070000,1.000000,8.333333,6.282104
0.020000,2.491565,4.571571,0.004667,0.093333,1.166667,8.333333,6.282932
0.020000,2.493199,4.571572,0.006800,0.120000,1.333333,8.333333,0.000828
0.020000,2.495898,4.571576,0.009500,0.150000,1.500000,8.333333,0.002198
0.020000,2.499232,4.571586,0.012833,0.183333,1.666667,8.333333,0.003893
0.020000,2.503265,4.571606,0.016867,0.220000,1.833333,8.333333,0.005946
0.020000,2.508065,4.571640,0.021667,0.260000,2.000000,8.333333,0.008396
0.020000,2.513665,4.571696,0.027267,0.300000,2.000000,-0.000000,0.011262
0.020000,2.520064,4.571778,0.033667,0.340000,2.000000,0.000000,0.014548
0.020000,2.527263,4.571896,0.040867,0.380000,2.000000,-0.000000,0.018256
0.020000,2.535262,4.572059,0.048867,0.420000,2.000000,0.000000,0.022392
0.020000,2.544059,4.572276,0.057667,0.460000,2.000000,-0.000000,0.026960
0.020000,2.553654,4.572559,0.067267,0.500000,2.000000,0.000000,0.031965
0.020000,2.564048,4.572919,0.077667,0.540000,2.000000,0.000000,0.037413
0.020000,2.575239,4.573371,0.088867,0.580000,2.000000,-0.000000,0.043309
0.020000,2.587226,4.573929,0.100867,0.620000,2.000000,0.000000,0.049659
0.020000,2.600008,4.574608,0.113667,0.660000,2.000000,0.000000,0.056469
0.020000,2.613583,4.575424,0.127267,0.700000,2.000000,0.000000,0.063744
0.020000,2.627950,4.576397,0.141667,0.740000,2.000000,0.000000,0.071492
0.020000,2.643107,4.577545,0.156867,0.780000,2.000000,-0.000000,0.079719
0.020000,2.659051,4.578889,0.172867,0.820000,2.000000,0.000000,0.088429
0.020000,2.675778,4.580450,0.189667,0.860000,2.000000,0.000000,0.097629
0.020000,2.693285,4.582250,0.207267,0.900000,2.000000,0.000000,0.107323
0.020000,2.711569,4.584314,0.225667,0.940000,2.000000,-0.000000,0.117516
0.020000,2.730624,4.586667,0.244867,0.980000,2.000000,0.000000,0.128212
0.020000,2.750445,4.589335,0.264867,1.020000,2.000000,0.000000,0.139415
0.020000,2.771026,4.592346,0.285667,1.060000,2.000000,0.000000,0.151124
0.020000,2.792359,4.595728,0.307267,1.100000,2.000000,-0.000000,0.163341
0.020000,2.814438,4.599511,0.329667,1.140000,2.000000,0.000000,0.176065
0.020000,2.837251,4.603726,0.352867,1.180000,2.000000,0.000000,0.189293
0.020000,2.860791,4.608403,0.376867,1.220000,2.000000,0.000000,0.203020
0.020000,2.885045,4.613576,0.401667,1.260000,2.000000,0.000000,0.217240
0.020000,2.910002,4.619277,0.427267,1.300000,2.000000,0.000000,0.231942
0.020000,2.935648,4.625540,0.453667,1.340000,2.000000,-0.000000,0.247115
0.020000,2.961968,4.632399,0.480867,1.380000,2.000000,0.000000,0.262744
0.020000,2.988948,4.639889,0.508867,1.420000,2.000000,0.000000,0.278811
0.020000,3.016569,4.648043,0.537667,1.460000,2.000000,0.000000,0.295295
0.020000,3.044814,4.656896,0.567267,1.500000,2.000000,0.000000,0.312171
0.020000,3.073663,4.666482,0.597667,1.540000,2.000000,0.000000,0.329412
0.020000,3.103095,4.676834,0.628867,1.580000,2.000000,0.000000,0.346985
0.020000,3.133089,4.687985,0.660867,1.620000,2.000000,0.000000,0.364856
0.020000,3.163621,4.699966,0.693667,1.660000,2.000000,0.000000,0.382987
0.020000,3.194670,4.712808,0.727267,1.700000,2.000000,-0.000000,0.401337
0.020000,3.226210,4.726539,0.761667,1.740000,2.000000,0.000000,0.419862
0.020000,3.258216,4.741188,0.796867,1.780000,2.000000,0.000000,0.438515
0.020000,3.290635,4.756764,0.832833,1.816667,1.833333,-8.333333,0.457229
0.020000,3.323381,4.773258,0.869500,1.850000,1.666667,-8.333333,0.475922
0.020000,3.356375,4.790656,0.906800,1.880000,1.500000,-8.333333,0.494511
0.020000,3.389537,4.808935,0.944667,1.906667,1.333333,-8.333333,0.512920
0.020000,3.422793,4.828066,0.983033,1.930000,1.166667,-8.333333,0.531072
0.020000,3.456071,4.848015,1.021833,1.950000,1.000000,-8.333333,0.548899
0.020000,3.489303,4.868742,1.061000,1.966667,0.833333,-8.333333,0.566336
0.020000,3.522425,4.890201,1.100467,1.980000,0.666667,-8.333333,0.583325
0.020000,3.555377,4.912342,1.140167,1.990000,0.500000,-8.333333,0.599814
0.020000,3.588103,4.935109,1.180033,1.996667,0.333333,-8.333333,0.615759
0.020000,3.620549,4.958444,1.220000,2.000000,0.166667,-8.333333,0.631119
0.020000,3.652668,4.982285,1.260000,2.000000,0.000000,-8.333333,0.645864
0.020000,3.684439,5.006587,1.300000,2.000000,0.000000,0.000000,0.659980
0.020000,3.715871,5.031325,1.340000,2.000000,0.000000,0.000000,0.673468
0.020000,3.746975,5.056475,1.380000,2.000000,0.000000,0.000000,0.686331
0.020000,3.777761,5.082014,1.420000,2.000000,0.000000,0.000000,0.698572
0.020000,3.808240,5.107918,1.460000,2.000000,0.000000,0.000000,0.710198
0.020000,3.838424,5.134165,1.500000,2.000000,0.000000,0.000000,0.721215
0.020000,3.868324,5.160734,1.540000,2.000000,0.000000,0.000000,0.731631
0.020000,3.897955,5.187605,1.580000,2.000000,0.000000,0.000000,0.741453
0.020000,3.927328,5.214757,1.620000,2.000000,0.000000,0.000000,0.750689
0.020000,3.956457,5.242170,1.660000,2.000000,0.000000,0.000000,0.759348
0.020000,3.985355,5.269826,1.700000,2.000000,0.000000,0.000000,0.767438
0.020000,4.014037,5.297708,1.740000,2.000000,0.000000,0.000000,0.774967
0.020000,4.042515,5.325796,1.780000,2.000000,0.000000,0.000000,0.781945
0.020000,4.070805,5.354075,1.820000,2.000000,0.000000,0.000000,0.788378
0.020000,4.098920,5.382528,1.860000,2.000000,0.000000,0.000000,0.794275
0.020000,4.126874,5.411138,1.900000,2.000000,0.000000,0.000000,0.799643
0.020000,4.154681,5.439891,1.940000,2.000000,0.000000,0.000000,0.804489
0.020000,4.182357,5.468771,1.980000,2.000000,0.000000,0.000000,0.808819
0.020000,4.209915,5.497764,2.020000,2.000000,0.000000,0.000000,0.812638
0.020000,4.237369,5.526855,2.060000,2.000000,0.000000,0.000000,0.815953
0.020000,4.264733,5.556030,2.100000,2.000000,0.000000,0.000000,0.818766
0.020000,4.292023,5.585275,2.140000,2.000000,0.000000,0.000000,0.821084
0.020000,4.319252,5.614576,2.180000,2.000000,0.000000,0.000000,0.822908
0.020000,4.346435,5.643920,2.220000,2.000000,0.000000,0.000000,0.824241
0.020000,4.373586,5.673294,2.260000,2.000000,0.000000,0.000000,0.825085
0.020000,4.400720,5.702684,2.300000,2.000000,0.000000,0.000000,0.825442
0.020000,4.427850,5.732078,2.340000,2.000000,0.000000,0.000000,0.825312
0.020000,4.454991,5.761461,2.380000,2.000000,0.000000,0.000000,0.824694
0.020000,4.482157,5.790820,2.420000,2.000000,0.000000,0.000000,0.823588
0.020000,4.509363,5.820143,2.460000,2.000000,0.000000,0.000000,0.821992
0.020000,4.536623,5.849416,2.500000,2.000000,0.000000,0.000000,0.819905
0.020000,4.563951,5.878625,2.540000,2.000000,0.000000,0.000000,0.817322
0.020000,4.591362,5.907757,2.580000,2.000000,0.000000,0.000000,0.814241
0.020000,4.618869,5.936797,2.620000,2.000000,0.000000,0.000000,0.810656
0.020000,4.646488,5.965731,2.660000,2.000000,0.000000,0.000000,0.806564
0.020000,4.674233,5.994545,2.700000,2.000000,0.000000,0.000000,0.801959
0.020000,4.702117,6.023224,2.740000,2.000000,0.000000,0.000000,0.796835
0.020000,4.730156,6.051752,2.780000,2.000000,0.000000,0.000000,0.791184
0.020000,4.758362,6.080113,2.820000,2.000000,0.000000,0.000000,0.785001
0.020000,4.786751,6.108292,2.860000,2.000000,0.000000,0.000000,0.778277
0.020000,4.815337,6.136272,2.900000,2.000000,0.000000,0.000000,0.771005
0.020000,4.844133,6.164035,2.940000,2.000000,0.000000,0.000000,0.763176
0.020000,4.873153,6.191564,2.980000,2.000000,0.000000,0.000000,0.754783
0.020000,4.902411,6.218839,3.020000,2.000000,0.000000,0.000000,0.745816
0.020000,4.931920,6.245843,3.060000,2.000000,0.000000,0.000000,0.736267
0.020000,4.961694,6.272555,3.100000,2.000000,0.000000,0.000000,0.726129
0.020000,4.991744,6.298954,3.140000,2.000000,0.000000,0.000000,0.715392
0.020000,5.022085,6.325021,3.180000,2.000000,0.000000,0.000000,0.704050
0.020000,5.052726,6.350732,3.220000,2.000000,0.000000,0.000000,0.692095
0.020000,5.083681,6.376065,3.260000,2.000000,0.000000,0.000000,0.679521
0.020000,5.114960,6.400997,3.300000,2.000000,0.000000,0.000000,0.666325
0.020000,5.146572,6.425505,3.340000,2.000000,0.000000,0.000000,0.652501
0.020000,5.178528,6.449563,3.380000,2.000000,0.000000,0.000000,0.638048
