dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.847487,2.306617,0.000033,0.003333,0.166667,8.333333,1.560311
0.020000,2.847487,2.306617,0.000167,0.010000,0.333333,8.333333,1.560313
0.020000,2.847487,2.306617,0.000467,0.020000,0.500000,8.333333,1.560316
0.020000,2.847487,2.306617,0.001000,0.033333,0.666667,8.333333,1.560322
0.020000,2.847487,2.306617,0.001833,0.050000,0.833333,8.333333,1.560332
0.020000,2.847487,2.306617,0.003033,0.070000,1.000000,8.333333,1.560346
0.020000,2.847497,2.307605,0.004667,0.093333,1.166667,8.333333,1.560364
0.020000,2.847519,2.309738,0.006800,0.120000,1.333333,8.333333,1.560388
0.020000,2.847548,2.312438,0.009500,0.150000,1.500000,8.333333,1.560419
0.020000,2.847582,2.315771,0.012833,0.183333,1.666667,8.333333,1.560457
0.020000,2.847624,2.319804,0.016867,0.220000,1.833333,8.333333,1.560502
0.020000,2.847673,2.324604,0.021667,0.260000,2.000000,8.333333,1.560556
0.020000,2.847730,2.330204,0.027267,0.300000,2.000000,-0.000000,1.560619
0.020000,2.847795,2.336604,0.033667,0.340000,2.000000,0.000000,1.560691
0.020000,2.847867,2.343803,0.040867,0.380000,2.000000,-0.000000,1.560772
0.020000,2.847947,2.351803,0.048867,0.420000,2.000000,0.000000,1.560861
0.020000,2.848034,2.360602,0.057667,0.460000,2.000000,-0.000000,1.560959
0.020000,2.848128,2.370202,0.067267,0.500000,2.000000,0.000000,1.561066
0.020000,2.848229,2.380601,0.077667,0.540000,2.000000,0.000000,1.561180
0.020000,2.848336,2.391801,0.088867,0.580000,2.000000,-0.000000,1.561304
0.020000,2.848449,2.403800,0.100867,0.620000,2.000000,0.000000,1.561435
0.020000,2.848568,2.416600,0.113667,0.660000,2.000000,0.000000,1.561574
0.020000,2.848692,2.430199,0.127267,0.700000,2.000000,0.000000,1.561721
0.020000,2.848822,2.444599,0.141667,0.740000,2.000000,0.000000,1.561876
0.020000,2.848956,2.459798,0.156867,0.780000,2.000000,-0.000000,1.562038
0.020000,2.849095,2.475797,0.172867,0.820000,2.000000,0.000000,1.562208
